French,English
partie,part
chercher,search
police,police
frère,brother
laisse,leash
chaque,each
parlé,speak
arrivé,come
devrait,should
longtemps,long time
vont,will
pendant,while
revoir,meet again
compris,understood
savais,knew
étaient,were
affaire,case
type,type
train,train
endroit,place
yeux,eyes
façon,way
dont,whose
main,hand
pouvoir,power
tiens,here
matin,morning
venu,came
devant,in front of
vers,towards
minutes,minutes
chambre,bedroom
droit,law
aimerais,would like to
aujourd'hui,today
enfin,finally
espère,hope
eau,water
parti,left
boulot,job
arrêter,Stop
dirait,would say
compte,account
loin,far
fin,end
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
filles,girls
